Gene,Expt,y,x,neighbour
3110035E14Rik,1,12600,4167,NaN
3110035E14Rik,1,12747,4225,NaN
3110035E14Rik,1,12855,4306,NaN
3110035E14Rik,1,12685,4350,NaN
3110035E14Rik,1,12612,4353,NaN
3110035E14Rik,1,12687,4370,NaN
3110035E14Rik,1,12714,4380,NaN
3110035E14Rik,1,12819,4384,NaN
3110035E14Rik,1,12620,4394,NaN
3110035E14Rik,1,12961,4403,3578
3110035E14Rik,1,12723,4405,NaN
3110035E14Rik,1,12707,4407,NaN
3110035E14Rik,1,12839,4417,NaN
3110035E14Rik,1,12920,4420,3578
3110035E14Rik,1,12695,4423,NaN
3110035E14Rik,1,12715,4428,NaN
3110035E14Rik,1,12605,4438,NaN
3110035E14Rik,1,12701,4438,NaN
3110035E14Rik,1,12803,4438,NaN
3110035E14Rik,1,12914,4442,87
3110035E14Rik,1,12731,4444,NaN
3110035E14Rik,1,12761,4448,NaN
3110035E14Rik,1,12763,4454,NaN
3110035E14Rik,1,12934,4456,87
3110035E14Rik,1,12644,4458,NaN
3110035E14Rik,1,12638,4461,NaN
3110035E14Rik,1,12769,4462,NaN
3110035E14Rik,1,12612,4470,NaN
3110035E14Rik,1,12852,4475,98
3110035E14Rik,1,12760,4492,NaN
3110035E14Rik,1,12594,4498,NaN
3110035E14Rik,1,12763,4500,NaN
3110035E14Rik,1,12684,4501,NaN
3110035E14Rik,1,12615,4505,NaN
3110035E14Rik,1,12801,4509,112
3110035E14Rik,1,12691,4514,NaN
3110035E14Rik,1,12750,4521,NaN
3110035E14Rik,1,12876,4524,138
3110035E14Rik,1,12639,4526,NaN
3110035E14Rik,1,12855,4538,138
3110035E14Rik,1,12958,4538,135
3110035E14Rik,1,12806,4543,141
3110035E14Rik,1,12620,4545,NaN
3110035E14Rik,1,12748,4545,NaN
3110035E14Rik,1,13024,4547,145
3110035E14Rik,1,12623,4548,NaN
3110035E14Rik,1,12814,4552,141
3110035E14Rik,1,12796,4558,141
3110035E14Rik,1,12999,4558,151
3110035E14Rik,1,12810,4561,141
3110035E14Rik,1,12722,4565,NaN
3110035E14Rik,1,12959,4567,3578
3110035E14Rik,1,12731,4569,NaN
3110035E14Rik,1,12761,4582,157
3110035E14Rik,1,12861,4582,158
3110035E14Rik,1,12973,4586,171
3110035E14Rik,1,12943,4588,173
3110035E14Rik,1,12750,4590,157
3110035E14Rik,1,12885,4591,182
3110035E14Rik,1,12748,4600,3578
3110035E14Rik,1,12891,4601,182
3110035E14Rik,1,12865,4602,182
3110035E14Rik,1,12616,4603,NaN
3110035E14Rik,1,12754,4603,3578
3110035E14Rik,1,12816,4606,194
3110035E14Rik,1,12846,4610,182
3110035E14Rik,1,12874,4623,182
3110035E14Rik,1,12621,4630,NaN
3110035E14Rik,1,12855,4631,182
3110035E14Rik,1,12941,4632,217
3110035E14Rik,1,12828,4636,221
3110035E14Rik,1,12901,4641,3578
3110035E14Rik,1,12835,4650,221
3110035E14Rik,1,13033,4656,215
3110035E14Rik,1,12846,4660,221
3110035E14Rik,1,13007,4661,3578
3110035E14Rik,1,12983,4669,3578
3110035E14Rik,1,12642,4673,NaN
3110035E14Rik,1,12917,4686,3578
3110035E14Rik,1,13003,4686,268
3110035E14Rik,1,13002,4703,268
3110035E14Rik,1,12643,4740,NaN
3110035E14Rik,1,12674,4743,NaN
3110035E14Rik,1,12590,4756,NaN
3110035E14Rik,1,12809,4772,3578
3110035E14Rik,1,12874,4790,3578
3110035E14Rik,1,12732,4798,3578
3110035E14Rik,1,12669,4813,3578
3110035E14Rik,1,12856,4825,3578
3110035E14Rik,1,12945,4848,3578
3110035E14Rik,1,12695,4889,3578
3110035E14Rik,1,13013,4906,3578
3110035E14Rik,1,12856,4938,3578
3110035E14Rik,1,12953,5098,3578
3110035E14Rik,1,12645,5104,3578
3110035E14Rik,1,12932,5126,3578
3110035E14Rik,1,13007,5248,3578
3110035E14Rik,1,12615,5480,3578
3110035E14Rik,1,14756,4134,NaN
3110035E14Rik,1,14781,4135,NaN
3110035E14Rik,1,14564,4136,NaN
3110035E14Rik,1,14684,4142,NaN
3110035E14Rik,1,14741,4143,NaN
3110035E14Rik,1,14505,4144,NaN
3110035E14Rik,1,14743,4146,NaN
3110035E14Rik,1,14783,4150,NaN
3110035E14Rik,1,14797,4155,NaN
3110035E14Rik,1,14691,4166,NaN
3110035E14Rik,1,13862,4171,NaN
3110035E14Rik,1,14615,4186,NaN
3110035E14Rik,1,14629,4186,NaN
3110035E14Rik,1,14628,4187,NaN
3110035E14Rik,1,14825,4187,NaN
3110035E14Rik,1,14761,4188,NaN
3110035E14Rik,1,14762,4195,NaN
3110035E14Rik,1,14784,4198,NaN
3110035E14Rik,1,14742,4200,NaN
3110035E14Rik,1,13087,4202,NaN
3110035E14Rik,1,13118,4205,NaN
3110035E14Rik,1,14722,4209,NaN
3110035E14Rik,1,14723,4210,NaN
3110035E14Rik,1,14678,4211,NaN
3110035E14Rik,1,14656,4219,NaN
3110035E14Rik,1,14808,4225,NaN
3110035E14Rik,1,14379,4226,NaN
3110035E14Rik,1,14707,4231,NaN
3110035E14Rik,1,14706,4236,NaN
3110035E14Rik,1,14739,4243,NaN
3110035E14Rik,1,14738,4244,NaN
3110035E14Rik,1,14711,4245,NaN
3110035E14Rik,1,14712,4248,NaN
3110035E14Rik,1,14713,4249,NaN
3110035E14Rik,1,14719,4257,NaN
3110035E14Rik,1,13548,4269,3578
3110035E14Rik,1,14103,4278,3578
3110035E14Rik,1,13114,4283,3578
3110035E14Rik,1,14822,4288,NaN
3110035E14Rik,1,14807,4291,NaN
3110035E14Rik,1,14826,4293,NaN
3110035E14Rik,1,14831,4294,NaN
3110035E14Rik,1,14824,4295,NaN
3110035E14Rik,1,14816,4298,NaN
3110035E14Rik,1,14818,4303,NaN
3110035E14Rik,1,14834,4308,NaN
3110035E14Rik,1,14808,4310,NaN
3110035E14Rik,1,14846,4316,NaN
3110035E14Rik,1,14820,4317,NaN
3110035E14Rik,1,14852,4321,NaN
