Gene,Expt,y,x,neighbour
3110035E14Rik,1,11285,22798,NaN
3110035E14Rik,1,11291,22842,NaN
3110035E14Rik,1,11073,22986,NaN
3110035E14Rik,1,10737,23176,NaN
3110035E14Rik,1,11014,23241,NaN
3110035E14Rik,1,10904,23296,NaN
3110035E14Rik,1,11175,23330,NaN
3110035E14Rik,1,10895,23418,NaN
3110035E14Rik,1,10885,23511,NaN
3110035E14Rik,1,10862,23568,NaN
3110035E14Rik,1,11163,23626,NaN
3110035E14Rik,1,11120,23637,NaN
3110035E14Rik,1,11276,23651,NaN
3110035E14Rik,1,11009,23658,NaN
3110035E14Rik,1,10744,23661,NaN
3110035E14Rik,1,10996,23677,NaN
3110035E14Rik,1,10961,23688,NaN
3110035E14Rik,1,11068,23778,NaN
3110035E14Rik,1,10784,23782,NaN
3110035E14Rik,1,10962,23784,NaN
3110035E14Rik,1,10775,23796,NaN
3110035E14Rik,1,11198,23796,NaN
3110035E14Rik,1,10910,23820,NaN
3110035E14Rik,1,10901,23829,NaN
3110035E14Rik,1,11095,23911,NaN
3110035E14Rik,1,12108,22702,NaN
3110035E14Rik,1,12874,22711,NaN
3110035E14Rik,1,12054,22809,NaN
3110035E14Rik,1,11720,22864,NaN
3110035E14Rik,1,12867,22875,NaN
3110035E14Rik,1,12167,22896,NaN
3110035E14Rik,1,11522,22910,NaN
3110035E14Rik,1,12993,22946,NaN
3110035E14Rik,1,12016,22948,NaN
3110035E14Rik,1,12707,22985,NaN
3110035E14Rik,1,13049,22987,NaN
3110035E14Rik,1,11420,23025,NaN
3110035E14Rik,1,13061,23027,NaN
3110035E14Rik,1,12993,23084,NaN
3110035E14Rik,1,13047,23110,NaN
3110035E14Rik,1,13020,23168,NaN
3110035E14Rik,1,13073,23180,NaN
3110035E14Rik,1,12550,23186,NaN
3110035E14Rik,1,12021,23208,NaN
3110035E14Rik,1,11311,23218,NaN
3110035E14Rik,1,13079,23219,NaN
3110035E14Rik,1,12730,23221,NaN
3110035E14Rik,1,13084,23231,NaN
3110035E14Rik,1,12895,23268,NaN
3110035E14Rik,1,13071,23296,NaN
3110035E14Rik,1,13004,23298,NaN
3110035E14Rik,1,12813,23300,NaN
3110035E14Rik,1,13082,23306,NaN
3110035E14Rik,1,13073,23308,NaN
3110035E14Rik,1,12613,23311,NaN
3110035E14Rik,1,12595,23326,NaN
3110035E14Rik,1,11541,23327,NaN
3110035E14Rik,1,12647,23327,NaN
3110035E14Rik,1,11527,23331,NaN
3110035E14Rik,1,12970,23333,NaN
3110035E14Rik,1,12027,23344,NaN
3110035E14Rik,1,12918,23422,NaN
3110035E14Rik,1,12474,23430,NaN
3110035E14Rik,1,11327,23433,NaN
3110035E14Rik,1,12964,23438,NaN
3110035E14Rik,1,12944,23448,NaN
3110035E14Rik,1,12995,23462,NaN
3110035E14Rik,1,12734,23474,NaN
3110035E14Rik,1,12693,23475,NaN
3110035E14Rik,1,11399,23479,NaN
3110035E14Rik,1,11567,23479,NaN
3110035E14Rik,1,12702,23487,NaN
3110035E14Rik,1,11397,23490,NaN
3110035E14Rik,1,12947,23490,NaN
3110035E14Rik,1,11373,23500,NaN
3110035E14Rik,1,12681,23500,NaN
3110035E14Rik,1,12670,23501,NaN
3110035E14Rik,1,11312,23503,NaN
3110035E14Rik,1,11904,23507,NaN
3110035E14Rik,1,12627,23511,NaN
3110035E14Rik,1,12963,23530,NaN
3110035E14Rik,1,12082,23532,NaN
3110035E14Rik,1,12952,23532,NaN
3110035E14Rik,1,11911,23546,NaN
3110035E14Rik,1,12876,23549,NaN
3110035E14Rik,1,11901,23550,NaN
3110035E14Rik,1,12849,23568,NaN
3110035E14Rik,1,12603,23607,NaN
3110035E14Rik,1,12797,23638,NaN
3110035E14Rik,1,12570,23641,NaN
3110035E14Rik,1,12433,23643,NaN
3110035E14Rik,1,11304,23659,NaN
3110035E14Rik,1,12463,23670,NaN
3110035E14Rik,1,12718,23696,NaN
3110035E14Rik,1,12600,23720,NaN
3110035E14Rik,1,12601,23720,NaN
3110035E14Rik,1,12386,23727,NaN
3110035E14Rik,1,12446,23735,NaN
3110035E14Rik,1,12732,23746,NaN
3110035E14Rik,1,13057,23780,NaN
3110035E14Rik,1,12546,23824,NaN
3110035E14Rik,1,12464,23825,NaN
3110035E14Rik,1,12816,23833,NaN
3110035E14Rik,1,12551,23850,NaN
3110035E14Rik,1,12967,23857,NaN
3110035E14Rik,1,12665,23863,NaN
3110035E14Rik,1,12718,23865,NaN
3110035E14Rik,1,12326,23885,NaN
3110035E14Rik,1,12295,23891,NaN
3110035E14Rik,1,12941,23897,NaN
3110035E14Rik,1,12194,23906,NaN
3110035E14Rik,1,13086,23916,NaN
3110035E14Rik,1,12545,23931,NaN
3110035E14Rik,1,12280,23946,NaN
3110035E14Rik,1,12186,23967,NaN
3110035E14Rik,1,12376,23983,NaN
3110035E14Rik,1,11968,23997,NaN
3110035E14Rik,1,12955,23999,NaN
3110035E14Rik,1,12275,24006,NaN
3110035E14Rik,1,13064,24009,NaN
3110035E14Rik,1,12709,24016,NaN
3110035E14Rik,1,12024,24030,NaN
3110035E14Rik,1,13591,22702,NaN
3110035E14Rik,1,13269,22715,NaN
3110035E14Rik,1,14774,22716,NaN
